Date,Home,Visitor,PitcherH,PitcherV,FinalH,FinalV,OpenH,OpenV,CloseH,CloseV,H538,V538
402,MIA,BOS,TRICHARDS-R,BJOHNSON-L,3,7,150,-170,118,-133,0.43,0.57
403,NYM,PHI,MHARVEY-R,BLIVELY-R,2,0,-113,103,-126,111,0.51,0.49
403,ATL,WSH,JTEHERAN-R,ACOLE-R,13,6,105,-115,114,-129,0.48,0.52
403,MIL,STL,CANDERSON-R,JFLAHERTY-R,5,4,-140,125,-108,-102,0.58,0.42
403,ARI,LAD,ZGODLEY-R,CKERSHAW-L,6,1,155,-175,153,-173,0.44,0.56
403,SD,COL,TROSS-R,KFREELAND-L,8,4,112,-122,102,-112,0.47,0.53
403,DET,KC,MBOYD-L,JJUNIS-R,0,1,105,-115,-112,102,0.51,0.49
403,TOR,CHW,JHAPP-L,MGONZALEZ-R,14,5,-165,145,-185,165,0.62,0.38
403,HOU,BAL,JVERLANDER-R,MWRIGHTJR.-R,10,6,-255,225,-250,220,0.75,0.25
403,OAK,TEX,KGRAVEMAN-R,CHAMELS-L,1,4,-107,-103,-132,117,0.49,0.51
403,LAA,CLE,GRICHARDS-R,JTOMLIN-R,13,2,-120,110,-133,118,0.5,0.5
403,SF,SEA,TBLACH-L,MGONZALES-L,4,6,-130,115,-115,105,0.53,0.47
403,MIA,BOS,JURENA-R,CSALE-L,2,4,230,-260,235,-270,0.33,0.67
403,NYY,TB,JMONTGOMERY-L,CARCHER-R,11,4,-160,140,-185,165,0.62,0.38
404,ATL,WSH,MFOLTYNEWICZ-R,MSCHERZER-R,7,1,175,-200,184,-209,0.38,0.62
404,NYM,PHI,NSYNDERGAARD-R,ANOLA-R,4,2,-156,141,-146,131,0.56,0.44
404,ARI,LAD,PCORBIN-L,AWOOD-L,3,0,115,-130,116,-131,0.46,0.54
404,MIL,STL,JCHACIN-R,CMARTINEZ-R,0,6,110,-120,-105,-105,0.49,0.51
404,SD,COL,CRICHARD-L,JGRAY-R,2,5,113,-128,116,-131,0.43,0.57
404,NYY,TB,LSEVERINO-R,BSNELL-L,7,2,-235,205,-267,232,0.64,0.36
404,HOU,BAL,DKEUCHEL-L,DBUNDY-R,3,2,-205,180,-166,146,0.66,0.34
404,LAA,CLE,TSKAGGS-L,CKLUBER-R,3,2,140,-155,135,-150,0.4,0.6
404,TOR,CHW,ASANCHEZ-R,CFULMER-R,3,4,-205,180,-223,198,0.61,0.39
404,OAK,TEX,SMANAEA-L,DFISTER-R,6,2,-150,135,-160,140,0.54,0.46
404,PIT,MIN,INOVA-R,JODORIZZI-R,3,7,-108,-102,-121,111,0.49,0.51
404,SF,SEA,JCUETO-R,FHERNANDEZ-R,10,1,-137,122,-140,125,0.51,0.49
405,WSH,NYM,SSTRASBURG-R,JDEGROM-R,2,8,-160,140,-155,140,0.62,0.38
405,PHI,MIA,NPIVETTA-R,CSMITH-L,5,0,-160,140,-145,130,0.56,0.44
405,SD,COL,JLUCCHESI-L,TANDERSON-L,1,3,110,-120,-109,-101,0.45,0.55
405,PIT,CIN,SBRAULT-L,HBAILEY-R,5,2,-130,115,-162,142,0.56,0.44
405,STL,ARI,AWAINWRIGHT-R,RRAY-L,1,3,-115,105,-111,101,0.51,0.49
405,MIL,CHC,BSUTER-L,JLESTER-L,0,8,120,-135,-101,-109,0.47,0.53
405,BOS,TB,DPRICE-L,YCHIRINOS-R,3,2,-245,215,-230,205,0.66,0.34
405,OAK,TEX,DMENGDEN-R,MPEREZ-L,3,6,-135,120,-155,140,0.54,0.46
405,MIN,SEA,KGIBSON-R,JPAXTON-L,4,2,109,-119,-105,-105,0.51,0.49
405,CHW,DET,JSHIELDS-R,JZIMMERMANN-R,7,9,-130,115,-119,109,0.55,0.45
405,NYY,BAL,MTANAKA-R,ACASHNER-R,2,5,-245,215,-265,230,0.7,0.3
406,COL,ATL,GMARQUEZ-R,BMCCARTHY-R,3,8,-140,125,-152,137,0.54,0.46
406,PIT,CIN,TWILLIAMS-R,LCASTILLO-R,14,3,-130,115,111,-121,0.56,0.44
406,MIL,CHC,BWOODRUFF-R,KHENDRICKS-R,5,4,135,-150,116,-131,0.42,0.58
406,CLE,KC,CCARRASCO-R,DDUFFY-L,3,2,-210,185,-233,208,0.69,0.31
406,NYY,BAL,CSABATHIA-L,KGAUSMAN-R,3,7,-185,165,-181,161,0.65,0.35
406,TEX,TOR,MMOORE-L,MESTRADA-R,5,8,110,-120,106,-116,0.49,0.51
406,LAA,OAK,PBRIDWELL-R,DGOSSETT-R,13,9,-155,140,-131,116,0.63,0.37
